name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
acetate,ACETATE,CH3COO-,aq,Sho95,DEW17.7,2017-09-26,DEW,cal,-88270,-116180,20.6,6.31,40.55,10.018,2.809,6.72,-2.8941,26.3,-3.86,1.3182,-1
"acetic acid",ACETIC-ACID,CH3COOH,aq,PS01,DEW17.01,2017-09-26,DEW,cal,-94760,-116100,42.7,40.26,51.57,11.5,5.5,1.67,-2.87,44.9,-2.63,-0.076,0
Ag+,Ag(+),Ag+,aq,SH88,DEW17.2,2017-09-26,DEW,cal,18427,25275,17.54,7.9,-0.8,2.0464,-4.3877,7.0182,-2.5976,12.7863,-1.4254,0.216,1
AgCl,AgCl(0),AgCl,aq,SSH97,DEW17.6,2017-09-26,DEW,cal,-17450,-18270,34.1,6.7,27,6.7458,2.1396,3.0441,-2.8675,9.7432,-1.6698,-0.038,0
AgCl2-,AgCl2(-),AgCl2-,aq,SSH97,DEW17.6,2017-09-26,DEW,cal,-51560,-61130,47,7.7,53,12.2533,7.3832,-1.3527,-3.0842,19.1265,-1.4661,0.9169,-1
Al+3,Al(+3),Al+3,aq,SSWS97,DEW17.05,2017-09-26,DEW,cal,-115609,-126834,-77.7,-31.04,-44.4,-3.3802,-17.0071,14.5185,-2.0758,10.7,-8.06,2.753,3
AlO2-,AlO2(-),AlO2-,aq,PH95,SHA14.1,2017-09-26,DEW,cal,-198693,-222125,-7.22,-9.55,10,4.298,2.4976,-1.8258,-2.8823,19.1,-6.2,1.7418,-1
AlO2(SiO2)-,AlO2(SiO2)-,AlO2(SiO2)-,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-403500,-440456,4,32,34.8,9.0313,4.3155,1.2196,-2.9574,39.3711,3.4838,1.5685,-1
Ar,Ar(0),Ar,aq,SHS89,DEW17.04,2017-09-26,DEW,cal,3900,-2870,14.3,53.35,31.71,6.0003,6.8698,3.0499,-3.063,35.6471,7.316,-0.3073,0
Au+,Au(+),Au+,aq,SH88,DEW17.2,2017-09-26,DEW,cal,39000,47580,24.5,0.6,11.1,3.3303,0.4233,5.6044,-2.7965,8.1767,-2.9123,0.18,1
Au+3,Au(+3),Au+3,aq,SH88,DEW17.2,2017-09-26,DEW,cal,103600,96930,-57.9,-36.2,-41.3,-8.0309,-2.3071,13.7983,-2.6836,7.5724,-10.4085,2.4554,3
Ba+2,Ba(+2),Ba+2,aq,SH88,DEW17.2,2017-09-26,DEW,cal,-134030,-128500,2.3,-12.29,-12.6,1.1011,-8.7609,8.1491,-2.4168,8.0413,-5.5371,0.985,2
BaCl+,BaCl(+),BaCl+,aq,SSH97,DEW17.5,2017-09-26,DEW,cal,-164730,-165770,22.5,6.18,16.8,4.8851,0.368,4.5296,-2.7942,11.7469,-1.7758,0.2126,1
Be+2,Be(+2),Be+2,aq,SH88,DEW17.2,2017-09-26,DEW,cal,-83500,-91500,-55.7,-1.3,-25.4,-1.4187,-9.4791,9.9786,-2.3871,22.9154,-3.2995,1.9007,2
benzene,BENZENE,C6H6,aq,PS01,DEW17.3,2017-09-26,DEW,cal,32000,12230,35.7,89.12,83,17.5199,12.3976,-5.5571,-3.2915,66.9,9.8,-0.25,0
"bG,NaCl",extended_term_parameter,Z0,aq,OH90,DEW19,2020-06-30,DEW,cal,175,NA,22,12.72,1.83,0.3006,-2.0255,-2.9092,2.0302,-1.5,5.33,-0.368,0
BO(OH),BO(OH)(0),BO(OH),aq,SH88,SHA14.2,2017-09-26,DEW,cal,-174854,-188505,24,3.76,20.49,5.54,1.38,3.1,-2.84,25,-10,0.1,0
BO2-,BO2(-),BO2-,aq,SH88,SHA14.4,2017-09-26,DEW,cal,-162240,-184600,-8.9,-9,-16.02,-0.855,-2.596,3.7,-2.6717,17.102,-4.8679,1.7595,-1
CaHCO3+,Ca(HCO3)(+),Ca(HCO3)+,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-273830,-294350,26,51,30,7.4225,2.7838,2.5039,-2.8941,37.511,7.3541,0.158,1
CaHCOO+,Ca(HCOO)+,Ca(HCOO)+,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-217930,-232236,11,68,17.5,5.1038,0.5762,4.355,-2.8028,49.5668,10.817,0.3851,1
CaHSiO3+,Ca(HSiO3)+,Ca(HSiO3)+,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-376299,-397525,16.8,72,36,8.6546,3.9569,1.5203,-2.9426,51.1018,11.6318,0.2973,1
CaOH+,Ca(OH)(+),Ca(OH)+,aq,SSWS97,DEW17.3,2017-09-26,DEW,cal,-171300,-179600,6.7,1.4,1.9,2.1051,-2.2789,6.749,-2.6848,11.1292,-2.7494,0.4496,1
Ca+2,Ca+2,Ca+2,aq,FDM+14,DEW19.5,2020-06-30,DEW,cal,-132120,-129800,-13.5,-7.51,-18.45,-0.245,-7.252,5,-2.48,9,-2.52,1.2366,2
CaCl+,CaCl(+),CaCl+,aq,SSH97,DEW17.5,2017-09-26,DEW,cal,-163100,-168607,4.5,17.5,11.3,3.9392,-0.5326,5.2847,-2.757,20.7297,0.5302,0.4675,1
CaCl2,CaCl2(0),CaCl2,aq,SSH97,DEW17.5,2017-09-26,DEW,cal,-194000,-211060,6,29.77,33.3,7.9694,3.3045,2.0673,-2.9156,23.2636,3.0296,-0.038,0
CaCO3,CaCO3(0),CaCO3,aq,FDM+14,DEW17.03,2017-09-26,DEW,cal,-262750,-287390,0,14.01,21.53,6.66,2.05,3.12,-2.86,32.8,-0.18,2,0
CaOH+,CaO,CaO,aq,HS19,DEW19.3,2020-06-30,DEW,cal,-152800,NA,16,12,5.5,2.5406,-1.8642,6.4013,-2.7019,12.2781,-0.5902,-0.1,0
CaSO4,CaSO4(0),CaSO4,aq,SSWS97,DEW17.10,2017-09-26,DEW,cal,-312930,-345900,5,-25,4.7,2.415,-1.9839,6.5015,-2.697,-8.835,-8.1271,-0.038,0
Cd+2,Cd(+2),Cd+2,aq,SH88,DEW17.2,2017-09-26,DEW,cal,-18560,-18140,-17.4,-3.5,-15.6,0.542,-8.9202,8.5551,-2.4102,15.6572,-3.7476,1.2528,2
Ce+3,Ce(+3),Ce+3,aq,SH88,DEW17.2,2017-09-26,DEW,cal,-161600,-167400,-49,-38.6,-39.8,-7.6866,-2.5596,13.5864,-2.6732,4.0444,-10.8973,2.2251,3
Ce+4,Ce(+4),Ce+4,aq,SH88,DEW17.2,2017-09-26,DEW,cal,-121300,-137700,-100.1,0.1,-53.3,-15.6355,11.3069,17.61,-3.2464,40.2794,-3.0143,3.6964,4
CN-,CN(-),CN-,aq,SH88,DEW17.2,2017-09-26,DEW,cal,41200,36000,22.5,-32.7,24.2,5.0522,6.8757,3.7084,-3.0632,-1.1133,-9.6957,1.29,-1
CO,CO(0),CO,aq,SM93,DEW17.3,2017-09-26,DEW,cal,-28682,-28910,24.53,64.5,33.8,7.9065,3.2446,2.1175,-2.9131,40.545,10.1041,-0.3715,0
Co+2,Co(+2),Co+2,aq,SH88,DEW17.2,2017-09-26,DEW,cal,-13000,-13900,-27,-7.8,-24.4,-1.4299,-9.4823,9.9867,-2.387,15.2015,-4.6235,1.4769,2
Co+3,Co(+3),Co+3,aq,SH88,DEW17.2,2017-09-26,DEW,cal,32000,22000,-73,-32.3,-43.9,-8.7545,-1.7764,14.2439,-2.7056,12.2499,-9.614,2.715,3
CO2,CO2(0),CO2,aq,FDM+14,DEW17.03,2017-09-26,DEW,cal,-92250,-98900,28.1,52.05,32.78,7.79,3.14,2.21,-2.91,37,6.5,-0.2,0
CO3-2,CO3(-2),CO3-2,aq,FDM+14,DEW17.03,2017-09-26,DEW,cal,-126191,-161385,-12.95,-65.02,-5.01,5.8,5,-2,-10.8,18,-20,4.6,-2
Cr+2,Cr(+2),Cr+2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-39400,-39000,-24.2,-7.3,-22.3,-0.9561,-9.3472,9.6428,-2.3926,15.0507,-4.5216,1.4287,2
Cr+3,Cr(+3),Cr+3,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-49300,-60000,-77,-22.9,-40,-7.2905,-2.8502,13.3424,-2.6612,17.9917,-7.6993,2.7403,3
Cr2O7-2,Cr2O7(-2),Cr2O7-2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-311000,-356200,62.6,-20.4,73,16.7844,11.6973,-4.9699,-3.2626,15.0819,-7.19,2.2654,-2
CrO4-2,CrO4(-2),CrO4-2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-174800,-210930,13.8,-62.6,19.8,10.0393,-6.2133,1.6595,-2.5221,-2.8604,-15.7863,3.0024,-2
Cu+,Cu(+),Cu+,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,11950,17132,9.7,13.7,-8,1.2958,-7.2006,7.8447,-2.4813,17.283,-0.2439,0.3351,1
Cu+2,Cu(+2),Cu+2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,15675,15700,-23.2,-2.23,-24.6,-1.4776,-9.4959,10.0214,-2.3864,18.4677,-3.4883,1.4769,2
diglycine,DIGLYCINE,C4H8O3N2,aq,LRB09,DEW17.11,2017-09-26,DEW,cal,-119100,NA,74.3,27.86,76.31,15.81,10.77,-4.19,-3.22,41.1,-11.5,-1.1,0
diketopiperazine,DKP,C4H6O2N2,aq,LRB09,DEW17.12,2017-09-26,DEW,cal,-62500,NA,63,17,76.73,16.1966,11.1376,-4.5007,-3.2394,11.7979,0.4283,-0.4702,0
Dy+3,Dy(+3),Dy+3,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-158700,-166500,-55.2,-31.7,-40.7,-7.8787,-2.4188,13.7046,-2.679,9.5076,-9.4919,2.3792,3
Er+3,Er(+3),Er+3,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-159900,-168500,-58.3,-34.3,-43,-8.699,-1.8171,14.2097,-2.7039,8.2815,-10.0215,2.4115,3
ethane,ETHANE,C2H6,aq,SH90,DEW17.3,2017-09-26,DEW,cal,-3886,-24650,26.81,88.3,51.2,11.2692,6.4463,-0.567,-3.0455,54.1755,14.9521,-0.406,0
ethanol,ETHANOL,C2H5OH,aq,PS01,DEW17.02,2017-09-26,DEW,cal,-43330,-68650,35.9,62.2,55.08,9.2333,9.9581,12.1445,-3.1906,60.0175,0.1507,-0.2037,0
ethylene,ETHYLENE,C2H4,aq,PS01,DEW17.3,2017-09-26,DEW,cal,19450,8570,28.6,66.9,46,10.3054,5.5286,0.2024,-3.0076,42.5181,10.5929,-0.31,0
Eu+2,Eu(+2),Eu+2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-129200,-126150,-2.4,-11.4,-15.3,0.5193,-8.9267,8.5716,-2.41,9.5541,-5.3568,1.0929,2
Eu+3,Eu(+3),Eu+3,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-137300,-144700,-53,-36.6,-41.3,-8.1578,-2.214,13.8765,-2.6875,6.0547,-10.49,2.3161,3
Fe(Ac)+,Fe(CH3COO)(+),Fe(CH3COO)+,aq,SSWS97,DEW17.6,2017-09-26,DEW,cal,-111900,-139060,-1.5,81.2,25.2,6.6906,2.087,3.0882,-2.8653,59.0576,13.5058,0.5756,1
Fe(Ac)2,Fe(CH3COO)2(0),Fe(CH3COO)2,aq,SSWS97,DEW17.6,2017-09-26,DEW,cal,-201800,-259100,11.53,184.2,66.9,14.4948,9.5174,-3.1421,-3.1724,113.7691,34.4869,-0.038,0
FeHCOO+,Fe(HCOO)+,Fe(HCOO)+,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-111800,-112263,59,30,27,6.6001,2.0008,3.1604,-2.8617,20.5995,3.0764,-0.3418,1
FeHSiO3+,Fe(HSiO3)+,Fe(HSiO3)+,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-277500,-298539,14,77,38.2,9.1022,4.383,1.163,-2.9602,54.4228,12.6503,0.3397,1
FeOH+,FeOH(+),FeOH+,aq,SSWS97,DEW17.13,2017-09-26,DEW,cal,-65850,NA,-10,15,2,2.2461,-2.1446,6.6364,-2.6903,21.4354,0.0209,0.7031,1
Fe+2,Fe(+2),Fe+2,aq,SSWS97,DEW19.6,2020-07-11,DEW,cal,-21870,NA,-25.3,-7.9,-22.2,-1.0416,-9.0072,9.6653,-2.4066,14.9634,-4.6439,1.4574,2
Fe+3,Fe(+3),Fe+3,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-4120,-11850,-66.3,-18.6,-37,-6.3271,-3.5568,12.7493,-2.632,19.0461,-6.8234,2.5812,3
FeCl+,FeCl(+),FeCl+,aq,SSWS97,DEW17.6,2017-09-26,DEW,cal,-53030,-61260,-10.06,20.57,5.8,2.9827,-1.4433,6.0483,-2.7193,24.6737,1.1555,0.7003,1
