name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
alanylglycine,NA,C5H10N2O3,aq,"Sho92 [S98]",NA,28.Feb.92,cal,-116730,-186110,50.7,60.3,95.22,14.6503,21.164,12.0751,-3.6538,54.7374,0.7979,-0.4278,0
leucylglycine,NA,C8H16N2O3,aq,"Sho92 [S98]",NA,27.Aug.06,cal,-110620,-202660,72.6,118.8,145.34,21.3967,34.6501,13.1805,-4.2113,98.6389,6.4783,-0.7594,0
diglycine,NA,C4H8N2O3,aq,"Sho92 [S98]",NA,28.Feb.92,cal,-117020,-175640,54.2,38,76.27,12.0393,15.9447,11.6466,-3.4381,36.349,-1.3673,-0.4808,0
diketopiperazine,NA,C4H6N2O2,aq,"Sho92 [S98]",NA,28.Feb.92,cal,-57440,-99300,53.5,17,76.73,12.1058,16.0764,11.6608,-3.4435,19.5904,-3.4064,-0.4702,0
glycine,Gly,C2H5NO2,aq,AH97b.2,DLH06.1,25.Aug.06,cal,-90950,-124780,39.29,9.3,43.2,11.3,0.71,3.99,-3.04,28.5,-8.4,0.23,0
glycinium,Gly+,C2H6NO2+,aq,AH97b.2,DLH06.1,25.Aug.06,cal,-94160,-125720,46.91,40,56.4,19.57,-7.58,-40.35,5.41,49,-1.8,0.59,0
methionine,Met,C5H11NO2S,aq,AH97b.2,DLH06.1,25.Aug.06,cal,-120120,-178520,62.36,70.7,105.4,24.95,6.9,13.59,-7.77,85.3,-6.6,0.13,0
[Gly],NA,H,aq,DLH06.6,NA,25.Aug.06,cal,-6075,-5570,17.31,11.371,9.606,1.83,2.57,1.22,-1.27,6.9,2.2,0,0
[Met],NA,C3H7S,aq,DLH06.6,NA,25.Aug.06,cal,-35245,-59310,40.38,72.739,71.832,15.48,8.76,10.82,-6,63.7,4,-0.1,0
[UPBB],NA,C2H2NO,aq,DLH06.6,NA,25.Aug.06,cal,-21436,-45220,1.62,-4.496,26.296,8.1,-3.75,-6.73,1.13,11.2,-7.5,0.05,0
alanate,NA,C3H6NO2-,aq,"SK95.1 [S98]",AH97b.1,3.Sep.06,cal,-75360,-121470,30.71,17.8,61.88,10.6281,17.3648,0.6505,-3.4968,12.685,-4.1859,1.17,-1
glycinate,NA,C2H4NO2-,aq,"SK95.1 [S98]",AH97b.1,3.Sep.06,cal,-77610,-114190,30.07,-6.6,43.77,8.1592,11.7696,1.921,-3.2655,12.9389,-4.1859,1.1975,-1
Ca(Gly)+,NA,Ca(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-211570,-240519,34.375,59.3,32.6,6.2431,7.4595,2.8241,-3.0873,41.4246,9.0464,0.0543,1
Ca(Gly)2,NA,Ca(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-290215,-351722,77.929,131,89,13.9371,26.2517,-4.5733,-3.8641,82.6597,23.6485,-0.03,0
Mg(Gly)+,NA,Mg(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-190820,-227064,7.788,64.2,28.7,5.8466,6.4953,3.1944,-3.0474,48.0086,10.0502,0.4555,1
Mg(Gly)2,NA,Mg(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-272534,-343783,43.136,140.6,84.7,13.3443,24.8034,-4.0028,-3.8043,88.2942,25.6069,-0.03,0
Sr(Gly)+,NA,Sr(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-213664,-241197,42.515,53.6,33.3,6.3007,7.6019,2.7652,-3.0932,36.9719,7.8914,-0.0684,1
Sr(Gly)2,NA,Sr(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-291859,-351200,88.581,119.9,89.8,14.0476,26.5176,-4.6704,-3.8751,76.1763,21.395,-0.03,0
Ba(Gly)+,NA,Ba(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-213671,-237698,55.917,48.6,38.7,6.9656,9.2295,2.1164,-3.1604,32.1389,6.8602,-0.2709,1
Ba(Gly)2,NA,Ba(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-292479,-347082,106.12,110.1,95.8,14.8647,28.514,-5.4575,-3.9577,70.3874,19.383,-0.03,0
Mn(Gly)+,NA,Mn(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-137101,-167693,26.59,67,33.7,6.4299,7.9186,2.6372,-3.1063,47.0493,10.6185,0.1739,1
Mn(Gly)2,NA,Mn(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-218761,-282627,67.741,146.1,90.2,14.1002,26.6481,-4.7253,-3.8805,91.4846,26.7157,-0.03,0
Fe(Gly)+,NA,Fe(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-105368,-137141,21.59,58,28,5.6774,6.0837,3.3533,-3.0304,42.4593,8.7852,0.2482,1
Fe(Gly)2,NA,Fe(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-187369,-252307,61.198,128.5,83.9,13.2339,24.5311,-3.8903,-3.793,81.1932,23.1388,-0.03,0
Ni(Gly)+,NA,Ni(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-96871,-131179,13.59,49.9,20.4,4.6813,3.6515,4.3097,-2.9299,38.8214,7.1352,0.3686,1
Ni(Gly)2,NA,Ni(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-181191,-249835,51.18,112.7,75.4,12.0787,21.7107,-2.7819,-3.6764,71.9311,19.9195,-0.03,0
Cu(Gly)+,NA,Cu(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-73625,-104298,26.59,63.4,25.3,5.2864,5.1238,3.7413,-2.9907,44.9395,9.8852,0.1739,1
Cu(Gly)2,NA,Cu(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-161137,-225550,66.18,139,80.9,12.8262,23.5338,-3.4944,-3.7518,87.3679,25.285,-0.03,0
Zn(Gly)+,NA,Zn(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-120148,-153499,19.59,62.1,25.6,5.3677,5.3226,3.6628,-2.9989,45.1185,9.6102,0.2792,1
Zn(Gly)2,NA,Zn(C2H4NO2)2,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-203799,-271188,58.18,136.4,81.3,12.8771,23.6625,-3.5537,-3.7571,85.8243,24.7484,-0.03,0
Pb(Gly)+,NA,Pb(C2H4NO2)+,aq,"SK95.1 [S98]",CHNOSZ.2,3.Sep.06,cal,-90780,-114202,58.508,47.7,35.3,6.4949,8.079,2.5712,-3.1129,31.2483,6.6769,-0.3103,1
