name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
ethane,NA,C2H6,aq,SH90,NA,1987-08-31,cal,-3886,-24650,26.81,88.3,51.3,8.634,13.3011,0.5205,-3.3288,54.1755,14.9521,-0.406,0
propane,NA,C3H8,aq,SH90,NA,1987-08-31,cal,-1963,-30490,33.37,110.6,67,10.7625,18.4948,-1.5133,-3.5435,66.3294,19.4946,-0.5053,0
butane,NA,C4H10,aq,SH90,NA,1993-01-15,cal,36,-36230,40.02,133.9,82.8,12.8905,23.696,-3.5683,-3.7585,79.0569,24.2408,-0.6061,0
pentane,NA,C5H12,aq,SH90,NA,1993-01-15,cal,2130,-41560,47.5,153,98.6,15.0143,28.8771,-5.5949,-3.9727,89.207,28.1315,-0.7193,0
hexane,NA,C6H14,aq,PS01,NA,2000-10-04,cal,4600,-47490,52.9,157.74,114,45.65,-4.78,-124.04,2.87,108.27,22.94,-0.47,0
heptane,NA,C7H16,aq,SH90,NA,1993-01-15,cal,6470,-52950,60,196.4,130.2,19.2745,39.281,-9.6879,-4.4028,112.898,36.9721,-0.9086,0
octane,NA,C8H18,aq,SH90,NA,1993-01-15,cal,8580,-59410,63.8,217.6,146,21.4171,44.5126,-11.7437,-4.6191,124.7924,41.2905,-0.9662,0
ethylene,NA,C2H4,aq,PS01,NA,2000-10-04,cal,19530,8610,28.6,66.92,46,17.69,-5.5,-53.78,3.59,43.98,12.91,-0.31,0
propene,NA,C3H6,aq,SH90,NA,1987-09-04,cal,17910,-290,36.7,83.7,61.3,9.9655,16.5518,-0.7564,-3.4632,50.0997,14.0151,-0.5558,0
butene,NA,C4H8,aq,SH90,NA,1987-09-04,cal,20310,-5635,43.4,104.9,77.1,12.0932,21.7476,-2.7991,-3.6779,61.5894,18.3335,-0.6572,0
pentene,NA,C5H10,aq,SH90,NA,1987-09-04,cal,22470,-11200,50.1,126.1,92.9,14.221,26.9431,-4.8413,-3.8927,73.0791,22.652,-0.7587,0
hexene,NA,C6H12,aq,SH90,NA,1987-09-04,cal,24370,-17025,56.8,147.3,108.7,16.3488,32.1387,-6.8838,-4.1075,84.5689,26.9704,-0.8602,0
heptene,NA,C7H14,aq,SH90,NA,1987-09-04,cal,26450,-22670,63.5,168.5,124.5,18.4766,37.3342,-8.926,-4.3223,96.0586,31.2889,-0.9616,0
octene,NA,C8H16,aq,SH90,NA,1987-09-04,cal,28720,-28120,70.2,189.7,140.3,20.6044,42.5297,-10.9682,-4.5371,107.5483,35.6073,-1.0631,0
ethyne,NA,C2H2,aq,SH90,NA,1987-08-31,cal,51890,50700,30,53,49.3,8.3577,12.6272,0.7833,-3.3009,33.0423,7.7615,-0.4543,0
1-propyne,NA,C3H4,aq,SH90,NA,1987-09-04,cal,47880,38970,36.7,74.2,65.1,10.4855,17.8227,-1.2588,-3.5157,44.5321,12.0799,-0.5558,0
1-butyne,NA,C4H6,aq,SH90,NA,1987-09-04,cal,50030,33400,43.4,95.4,80.9,12.6132,23.0185,-3.3011,-3.7305,56.0218,16.3984,-0.6572,0
1-pentyne,NA,C5H8,aq,SH90,NA,1987-09-04,cal,52160,27800,50.1,116.6,96.7,14.741,28.214,-5.3433,-3.9453,67.5117,20.7168,-0.7587,0
1-hexyne,NA,C6H10,aq,SH90,NA,1987-09-04,cal,54420,22340,56.8,137.8,112.5,16.8688,33.4096,-7.3857,-4.1601,79.0012,25.0353,-0.8602,0
1-heptyne,NA,C7H12,aq,SH90,NA,1987-09-04,cal,56730,16980,63.7,159,128.3,18.9956,38.6015,-9.4245,-4.3747,90.4632,29.3537,-0.9647,0
1-octyne,NA,C8H14,aq,SH90,NA,1987-09-04,cal,58860,11330,70.2,180.2,144.1,21.1244,43.8006,-11.4705,-4.5896,101.9808,33.6721,-1.0631,0
toluene,NA,C6H5CH3,aq,SH90,NA,1987-09-04,cal,30260,3280,43.9,102.8,97.71,15.0259,21.9153,12.1349,-3.6849,93.924,2.8953,-0.3248,0
ethylbenzene,NA,C6H5C2H5,aq,SH90,NA,1987-09-04,cal,32440,-2500,49.8,120.5,113.8,17.1974,26.2574,12.4885,-3.8644,108.3695,4.0918,-0.4142,0
n-propylbenzene,NA,C6H5C3H7,aq,SH90,NA,1987-08-31,cal,34170,-8630,56.1,144.8,129.6,19.3272,30.5152,12.8372,-4.0404,128.4523,5.7345,-0.5096,0
n-butylbenzene,NA,C6H5C4H9,aq,SH90,NA,1987-08-31,cal,36110,-14430,62.8,166,145.4,21.455,34.7658,13.1931,-4.2162,145.8054,7.1676,-0.611,0
n-pentylbenzene,NA,C6H5C5H11,aq,SH90,NA,1987-09-02,cal,38210,-19750,69.5,187.2,161.2,23.5828,39.0164,13.549,-4.3918,163.1584,8.6007,-0.7125,0
n-hexylbenzene,NA,C6H5C6H13,aq,SH90,NA,1987-09-02,cal,40390,-25590,76.2,208.4,177,25.7106,43.2732,13.8894,-4.5678,180.5115,10.0338,-0.814,0
n-heptylbenzene,NA,C6H5C7H15,aq,SH90,NA,1987-09-02,cal,42640,-31090,82.9,229.6,192.8,27.8384,47.5238,14.2453,-4.7435,197.8642,11.467,-0.9154,0
n-octylbenzene,NA,C6H5C8H17,aq,SH90,NA,1987-09-02,cal,44690,-36760,89.6,250.8,208.6,29.9662,51.7744,14.6016,-4.9193,215.2173,12.9001,-1.0169,0
methanol,NA,CH3OH,aq,PS01,NA,2000-10-04,cal,-42020,-58880,31.8,37.76,38.2,8.37,4.06,-0.24,-1.43,34.42,0.96,-0.15,0
ethanol,NA,C2H5OH,aq,PS01,NA,2000-10-04,cal,-43240,-68770,35.3,62.86,55.1,11.71,6.21,5.98,-3.35,58.8,1.67,-0.12,0
propanol,1-propanol,C3H7OH,aq,PS01,NA,2000-10-04,cal,-41130,-74750,40.8,84.85,70.7,14.58,9.08,12.19,-5.5,74.33,3.35,-0.2,0
butanol,1-butanol,C4H9OH,aq,SH90,NA,1987-09-02,cal,-38840,-80320,46.9,104.4,86.6,13.4902,17.94,14.1816,-3.5205,94.8858,3.0034,-0.3702,0
pentanol,1-pentanol,C5H11OH,aq,SH90,NA,1987-09-02,cal,-38470,-87730,53.4,125.2,102.68,15.6573,22.623,13.6464,-3.7141,111.9216,4.4095,-0.4687,0
hexanol,NA,C6H13OH,aq,SH90,SLOP16.7,1998-06-02,cal,-35490,-92690,59.3,144.4,118.65,17.8125,27.4861,12.591,-3.9152,127.661,5.7074,-0.558,0
heptanol,NA,C7H15OH,aq,SH90,SLOP16.7,1998-06-02,cal,-31990,-97270,64.7,174.2,133.43,19.8073,31.4734,12.9195,-4.08,152.6139,7.7219,-0.6398,0
octanol,NA,C8H17OH,aq,SH90,SLOP16.7,1987-09-02,cal,-30250,-103060,72.1,195,149.2,21.9274,35.7067,13.2792,-4.255,169.5242,9.128,-0.7519,0
acetone,NA,C3H6O,aq,SH90,NA,1987-09-02,cal,-38500,-61720,44.4,57.7,66.92,10.81,13.4912,11.435,-3.3366,54.9496,-0.1534,-0.3324,0
butanone,2-butanone,C4H8O,aq,SH90,NA,1987-09-02,cal,-36730,-67880,50.3,80.4,82.52,12.9145,17.6967,11.7839,-3.5105,73.7083,1.381,-0.4217,0
2-pentanone,NA,C5H10O,aq,SH90,NA,1987-09-02,cal,-34390,-73460,56.3,101.6,98,15.0021,21.8653,12.1372,-3.6828,91.1588,2.8142,-0.5126,0
2-hexanone,NA,C6H12O,aq,SH90,NA,1987-09-02,cal,-32480,-79220,63.4,122.8,113.7,17.1141,26.0886,12.4806,-3.8574,108.456,4.2473,-0.6201,0
2-heptanone,NA,C7H14O,aq,SH90,NA,1987-09-02,cal,-30430,-84890,70.1,144,129.5,19.2419,30.3392,12.8366,-4.0331,125.8091,5.6804,-0.7216,0
2-octanone,NA,C8H16O,aq,SH90,NA,1987-09-02,cal,-28380,-90560,76.8,165.2,145.3,21.3697,34.596,13.1769,-4.2091,143.162,7.1135,-0.8231,0
methanamine,NA,CH3NH2,aq,SH90,NA,1987-09-04,cal,5040,-16320,30.5,37,41.88,7.4547,6.7824,10.8884,-3.0593,39.0324,-1.5527,-0.1219,0
ethanamine,NA,C2H5NH2,aq,SH90,NA,1987-10-01,cal,6300,-23830,33.6,56.8,58.61,9.7281,11.3257,11.2651,-3.2471,55.6799,-0.2142,-0.1688,0
propanamine,NA,C3H7NH2,aq,SH90,NA,1987-09-04,cal,7010,-30680,40.8,78,74.15,11.8178,15.5013,11.6113,-3.4197,72.9633,1.2188,-0.2779,0
butanamine,NA,C4H9NH2,aq,SH90,NA,1987-09-04,cal,9410,-36110,47.2,101,89.8,13.9266,19.7205,11.9476,-3.5941,91.9109,2.7736,-0.3748,0
pentanamine,NA,C5H11NH2,aq,SH90,NA,1987-10-01,cal,12800,-40650,53.5,123,105.7,16.0701,24.0048,12.301,-3.7713,110.0099,4.2608,-0.4702,0
hexanamine,NA,C6H13NH2,aq,SH90,NA,1987-09-04,cal,14860,-46320,60.2,144,121.6,18.2115,28.2822,12.6611,-3.9481,127.1903,5.6804,-0.5717,0
heptanamine,NA,C7H15NH2,aq,SH90,NA,1987-09-04,cal,16910,-51990,66.9,162.8,137.6,20.3667,32.5921,13.0098,-4.1263,142.4729,6.9513,-0.6731,0
octanamine,NA,C8H17NH2,aq,SH90,NA,1987-09-04,cal,18960,-57660,73.6,184,153.2,22.4671,36.7896,13.3574,-4.2998,159.8259,8.3844,-0.7746,0
"a-aminobutyric acid",NA,C4H9NO2,aq,SH90,NA,1987-09-04,cal,-87120,-138180,46.7,53.1,76.5,12.1092,16.0862,11.6529,-3.4439,50.6605,-0.4643,-0.3672,0
ethylacetate,NA,CH3COOCH2CH3,aq,Sho93,NA,1993-03-18,cal,-79300,-116840,53.4,94.8,88.8,13.8375,24.6396,-1.0033,-3.7975,83.6983,4.4052,-0.2334,0
acetamide,NA,CH3CONH2,aq,Sho93,NA,2019-05-29,cal,-50860,-77290,39.5,38.2,55.824,9.2939,14.3387,1.3439,-3.3717,37.6126,-1.1867,-0.3255,0
Pb(Ac)+,NA,PbCH3COO+,aq,SK93,NA,1991-02-16,cal,-97250,-115880,36,71.4,32.1,6.1543,7.2429,2.9082,-3.0783,48.0824,11.5161,0.0057,1
Pb(Ac)2,NA,Pb(CH3COO)2,aq,SK93,NA,1991-02-16,cal,-186890,-229460,69.8,165,85.2,13.409,24.9584,-4.057,-3.8107,102.6053,30.5811,-0.03,2
Ca(Ac)+,NA,CaCH3COO+,aq,SK93,NA,1993-04-05,cal,-221660,-245620,12.5,83.1,29.3,5.9002,6.6232,3.1505,-3.0527,58.1976,13.8857,0.3636,1
Mg(Ac)+,NA,MgCH3COO+,aq,SK93,NA,1993-03-17,cal,-198520,-229480,-13.1,88,25.4,5.4981,5.6424,3.5341,-3.0122,64.6297,14.8894,0.7483,1
Li(Ac),NA,LiCH3COO,aq,SK93,NA,1992-08-17,cal,-158610,-184240,19.5,86.7,48.5,8.388,12.6976,0.7639,-3.3038,56.6767,14.6175,-0.03,0
Na(Ac),NA,NaCH3COO,aq,SK93,NA,1992-08-17,cal,-150720,-173540,34.2,75.1,48.2,8.3514,12.6125,0.7884,-3.3003,49.8989,12.2617,-0.03,0
K(Ac),NA,KCH3COO,aq,SK93,NA,1992-08-17,cal,-155420,-175220,47.6,59.2,59.5,9.902,16.3937,-0.6874,-3.4566,40.5631,9.0167,-0.03,0
Sr(Ac)+,NA,SrCH3COO+,aq,SK93,NA,1992-08-17,cal,-224510,-247220,20,77.4,30.1,5.9602,6.7718,3.0884,-3.0588,53.8109,12.7307,0.2482,1
Ba(Ac)+,NA,BaCH3COO+,aq,SK93,NA,1992-08-17,cal,-223650,-242850,33.5,72.3,35.4,6.6253,8.3926,2.4574,-3.1259,48.9806,11.6995,0.0459,1
Mn(Ac)+,NA,MnCH3COO+,aq,SK93,NA,1992-08-17,cal,-144430,-169560,6.3,90.8,30.4,6.0776,7.057,2.9786,-3.0706,63.5668,15.4577,0.4555,1
Mn(Ac)2,NA,Mn(CH3COO)2,aq,SK93,NA,1992-09-10,cal,-233850,-287670,24.2,202.8,83.3,13.1542,24.3405,-3.8236,-3.7851,124.7315,38.2716,-0.03,2
Co(Ac)+,NA,CoCH3COO+,aq,SK93,NA,1992-08-17,cal,-103260,-132080,-6.5,82.5,22.3,5.0294,4.4992,3.9806,-2.9649,60.4543,13.7619,0.6472,1
Ni(Ac)+,NA,NiCH3COO+,aq,SK93,SLOP16.1,2015-09-00,cal,-101100,-131500,-11.7,73.7,17.1,4.3556,2.8512,4.6343,-2.8968,56.0621,11.9745,0.7287,1
Cu(Ac)+,NA,CuCH3COO+,aq,SK93,NA,1992-08-19,cal,-75640,-103120,-1.3,87.2,22,4.9722,4.362,4.029,-2.9592,62.495,14.7244,0.5681,1
Cu(Ac)2,NA,Cu(CH3COO)2,aq,SK93,NA,1992-08-19,cal,-165820,-222690,14.2,195.8,74,11.8801,21.2264,-2.5925,-3.6564,120.615,36.8408,-0.03,2
