name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
pyridine,NA,C5H5N,liq,LH06b.1,NA,2003-07-11,CGL,cal,43370,23890,42.52,31.72,80.86,10.24,0.06434,204200,0,0,0,0,1000
piperidine,NA,C5H11N,liq,LH06b.1,NA,2003-07-16,CGL,cal,24270,-20860,50.18,42.95,99.4,2.42,0.09888,983100,0,0,0,0,1000
methane,NA,CH4,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-8976,-18895,30.57,14.68,58.2,-1.55,0.0476,181000,0,0,0,0,111.64
ethane,NA,C2H6,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-5877,-22758,39.82,20.8,70,-2.01,0.0667,259700,0,0,0,0,184.57
propane,NA,C3H8,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-4612,-28908,47.56,27.05,83,-2.13,0.0851,338400,0,0,0,0,231.08
butane,NA,C4H10,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-3349,-35057,55.3,33.49,97,-1.79,0.1026,417100,0,0,0,0,272.66
pentane,NA,C5H12,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-2084,-41207,63.04,40.13,111.7,-0.9,0.1189,495800,0,0,0,0,309.22
hexane,NA,C6H14,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-819,-47357,70.77,46.91,126.8,0.58,0.1337,574500,0,0,0,0,341.89
heptane,NA,C7H16,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,447,-53506,78.51,53.83,142.6,2.65,0.147,653200,0,0,0,0,371.57
octane,NA,C8H18,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,1709,-59656,86.25,60.85,158.7,5.27,0.1588,731900,0,0,0,0,398.82
nonane,NA,C9H20,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,2975,-65805,93.99,67.95,175,8.35,0.1693,810600,0,0,0,0,423.97
decane,NA,C10H22,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,4237,-71955,101.73,75.15,191.4,11.78,0.179,889300,0,0,0,0,447.31
undecane,NA,C11H24,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,5502,-78105,109.47,82.43,208,15.43,0.1882,968000,0,0,0,0,469.08
dodecane,NA,C12H26,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,6765,-84254,117.21,89.82,224.6,19.16,0.1975,1046700,0,0,0,0,489.47
tridecane,NA,C13H28,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,8030,-90404,124.95,97.28,241.3,22.84,0.2072,1125400,0,0,0,0,508.62
tetradecane,NA,C14H30,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,9293,-96553,132.69,104.81,258.2,26.36,0.2177,1204100,0,0,0,0,526.73
pentadecane,NA,C15H32,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,10558,-102703,140.43,112.41,274.9,29.64,0.2292,1282800,0,0,0,0,543.84
hexadecane,NA,C16H34,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,11823,-108853,148.16,120.01,291.7,32.63,0.2417,1361500,0,0,0,0,560.01
heptadecane,NA,C17H36,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,13089,-115002,155.9,127.58,308.6,35.32,0.2551,1440200,0,0,0,0,575.17
octadecane,NA,C18H38,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,14351,-121152,163.64,135.05,325.4,37.76,0.269,1518900,0,0,0,0,589.5
nonadecane,NA,C19H40,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,15617,-127301,171.38,142.43,342.3,39.93,0.2835,1597600,0,0,0,0,603.1
eicosane,NA,C20H42,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,16879,-133451,179.12,149.81,359.2,42.1,0.298,1676300,0,0,0,0,616.95
heneicosane,NA,C21H44,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,18144,-139601,186.86,157.18,376,44.27,0.3125,1755000,0,0,0,0,629.7
docosane,NA,C22H46,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,19407,-145750,194.6,164.56,392.9,46.44,0.327,1833700,0,0,0,0,641.8
tricosane,NA,C23H48,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,20672,-151900,202.34,171.94,409.9,48.61,0.3415,1912400,0,0,0,0,653.4
tetracosane,NA,C24H50,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,21935,-158049,210.08,179.32,426.8,50.78,0.356,1991100,0,0,0,0,664.6
pentacosane,NA,C25H52,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,23200,-164199,217.82,186.7,443.7,52.95,0.3705,2069800,0,0,0,0,675.1
hexacosane,NA,C26H54,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,24465,-170349,225.55,194.08,460.6,55.12,0.385,2148500,0,0,0,0,685.4
heptacosane,NA,C27H56,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,25731,-176498,233.29,201.46,477.6,57.29,0.3995,2227200,0,0,0,0,695.3
octacosane,NA,C28H58,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,26993,-182648,241.03,208.83,494.5,59.46,0.414,2305900,0,0,0,0,704.8
nonacosane,NA,C29H60,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,28259,-188797,248.77,216.21,511.5,61.63,0.4285,2384600,0,0,0,0,714
triacontane,NA,C30H62,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,29521,-194947,256.51,223.59,528.4,63.8,0.443,2463300,0,0,0,0,722.9
hentriacontane,NA,C31H64,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,30786,-201097,264.25,230.97,545.4,65.97,0.4575,2542000,0,0,0,0,731
dotriacontane,NA,C32H66,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,32049,-207246,271.99,238.35,562.3,68.14,0.472,2620700,0,0,0,0,740
tritriacontane,NA,C33H68,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,33314,-213396,279.73,245.73,579.3,70.31,0.4865,2699400,0,0,0,0,748
tetratriacontane,NA,C34H70,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,34577,-219545,287.47,253.11,596.2,72.48,0.501,2778100,0,0,0,0,755
pentatriacontane,NA,C35H72,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,35842,-225695,295.21,260.48,613.2,74.65,0.5155,2856800,0,0,0,0,763
hexatriacontane,NA,C36H74,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,37107,-231845,302.94,267.86,630.2,76.82,0.53,2935500,0,0,0,0,770
heptatriacontane,NA,C37H76,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,38373,-237994,310.68,275.24,647.1,78.99,0.5445,3014200,0,0,0,0,777
octatriacontane,NA,C38H78,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,39635,-244144,318.42,282.62,664.1,81.16,0.559,3092900,0,0,0,0,784
nonatriacontane,NA,C39H80,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,40901,-250293,326.16,290,681.1,83.33,0.5735,3171600,0,0,0,0,791
tetracontane,NA,C40H82,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,42163,-256443,333.9,297.38,698.1,85.5,0.588,3250300,0,0,0,0,798
hentetracontane,NA,C41H84,liq,HOKR98,NA,2006-08-30,CGL,cal,43428,-262593,341.64,304.75,715,87.67,0.6025,3329000,0,0,0,0,NA
dotetracontane,NA,C42H86,liq,HOKR98,NA,2006-08-30,CGL,cal,44691,-268742,349.38,312.13,732,89.84,0.617,3407700,0,0,0,0,NA
tritetracontane,NA,C43H88,liq,HOKR98,NA,2006-08-30,CGL,cal,45956,-274892,357.12,319.51,749,92.01,0.6315,3486400,0,0,0,0,NA
tetratetracontane,NA,C44H90,liq,HOKR98,NA,2006-08-30,CGL,cal,47219,-281041,364.86,326.89,766,94.18,0.646,3565100,0,0,0,0,NA
pentatetracontane,NA,C45H92,liq,HOKR98,NA,2006-08-30,CGL,cal,48484,-287191,372.6,334.27,783,96.35,0.6605,3643800,0,0,0,0,NA
hexatetracontane,NA,C46H94,liq,HOKR98,NA,2006-08-30,CGL,cal,49749,-293341,380.33,341.65,800,98.52,0.675,3722500,0,0,0,0,NA
heptatetracontane,NA,C47H96,liq,HOKR98,NA,2006-08-30,CGL,cal,51015,-299490,388.07,349.03,816.9,100.69,0.6895,3801200,0,0,0,0,NA
octatetracontane,NA,C48H98,liq,HOKR98,NA,2006-08-30,CGL,cal,52277,-305640,395.81,356.4,833.9,102.86,0.704,3879900,0,0,0,0,NA
nonatetracontane,NA,C49H100,liq,HOKR98,NA,2006-08-30,CGL,cal,53543,-311789,403.55,363.78,850.9,105.03,0.7185,3958600,0,0,0,0,NA
pentacontane,NA,C50H102,liq,HOKR98,NA,2006-08-30,CGL,cal,54805,-317939,411.29,371.16,867.9,107.2,0.733,4037300,0,0,0,0,NA
hexacontane,NA,C60H122,liq,HOKR98,NA,2006-08-30,CGL,cal,67447,-379435,488.68,444.95,1037.8,128.9,0.878,4824300,0,0,0,0,NA
heptacontane,NA,C70H142,liq,HOKR98,NA,2006-08-30,CGL,cal,80089,-440931,566.07,518.73,1207.8,150.6,1.023,5611300,0,0,0,0,NA
octacontane,NA,C80H162,liq,HOKR98,NA,2006-08-30,CGL,cal,92731,-502427,643.46,592.52,1377.8,172.3,1.168,6398300,0,0,0,0,NA
nonacontane,NA,C90H182,liq,HOKR98,NA,2006-08-30,CGL,cal,105373,-563293,720.85,666.3,1547.8,194,1.313,7185300,0,0,0,0,NA
hectane,NA,C100H202,liq,HOKR98,NA,2006-08-30,CGL,cal,118015,-625419,798.24,740.09,1717.8,215.7,1.458,7972300,0,0,0,0,NA
2-methylpropane,NA,C4H10,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-4229,-36319,54.02,32.43,100.2,1.84,0.0931,252000,0,0,0,0,261.42
2-methylbutane,NA,C5H12,liq,HOKR98,NA,2006-08-30,CGL_Ttr,cal,-2964,-42469,61.76,39.54,115.8,2.93,0.1107,320000,0,0,0,0,301
