"table","ispecies","name","state","E_units","DCp","DV","DG"
"OBIGT",14,"CO3-2","aq","cal",,-1.04,
"OBIGT",20,"HPO4-2","aq","cal",,-1.02,
"OBIGT",26,"S2O3-2","aq","cal",,,939
"OBIGT",48,"BO2-","aq","cal",,-19.31,
"OBIGT",60,"Cu+2","aq","cal",3.62,,
"OBIGT",64,"NH3","aq","cal",2.75,,
"OBIGT",73,"SO2","aq","cal",11.1,,
"OBIGT",91,"LaSO4+","aq","cal",-6.02,,
"OBIGT",107,"CeNO3+2","aq","cal",,,874
"OBIGT",134,"NdF2+","aq","cal",16.64,6.19,
"OBIGT",180,"EuF+","aq","cal",4.11,-19.19,
"OBIGT",181,"EuF2","aq","cal",9.75,-40.4,
"OBIGT",182,"EuF3-","aq","cal",17.18,-64.45,
"OBIGT",183,"EuF4-2","aq","cal",26.07,-91.02,
"OBIGT",184,"EuCl+","aq","cal",-4.11,19.2,
"OBIGT",185,"EuCl2","aq","cal",-9.84,40.4,
"OBIGT",186,"EuCl3-","aq","cal",-17.19,64.47,
"OBIGT",187,"EuCl4-2","aq","cal",-26.15,91.04,
"OBIGT",214,"TbO+","aq","cal",,,-8907
"OBIGT",288,"TmCO3+","aq","cal",,,22940
"OBIGT",340,"UO4-2","aq","cal",,-1.11,
"OBIGT",358,"CsCl","aq","cal",,,-1705
"OBIGT",364,"CsBr","aq","cal",,,533
"OBIGT",368,"CsI","aq","cal",,,-2127
"OBIGT",369,"Ag(CO3)-","aq","cal",,,-1034
"OBIGT",370,"Ag(CO3)2-3","aq","cal",,-1.56,
"OBIGT",375,"NaHSiO3","aq","cal",,,2595
"OBIGT",379,"CaCl+","aq","cal",,,-593
"OBIGT",386,"AgCl4-3","aq","cal",,-1.31,
"OBIGT",387,"AgNO3","aq","cal",,,1596
"OBIGT",388,"MnSO4","aq","cal",,,1203
"OBIGT",389,"BeCl+","aq","cal",,,-33235
"OBIGT",390,"BeCl2","aq","cal",,,-33228
"OBIGT",399,"AuCl4-3","aq","cal",,,117800
"OBIGT",404,"InCl+2","aq","cal",,,7342
"OBIGT",405,"BeF+","aq","cal",,,-33233
"OBIGT",406,"BeF2","aq","cal",,,-33220
"OBIGT",407,"BeF3-1","aq","cal",,,-33211
"OBIGT",408,"BeF4-2","aq","cal",,,-33199
"OBIGT",421,"InF+2","aq","cal",,,7347
"OBIGT",432,"CuCl4-2","aq","cal",,-1.07,
"OBIGT",434,"ReO4-","aq","cal",-1.26,,
"OBIGT",441,"WO4-2","aq","cal",,,19984
"OBIGT",443,"PO4-3","aq","cal",,-1.72,
"OBIGT",450,"UO2+2","aq","cal",-1.1,,
"OBIGT",451,"Th+4","aq","cal",,-1.14,
"OBIGT",455,"In+3","aq","cal",,,7335
"OBIGT",470,"P2O7-4","aq","cal",,-2.11,
"OBIGT",471,"HP2O7-3","aq","cal",,-1.42,
"OBIGT",485,"SO3-2","aq","cal",,-1.02,
"OBIGT",493,"S2O6-2","aq","cal",,,-607
"OBIGT",496,"S5O6-2","aq","cal",,,664
"OBIGT",519,"VO4-3","aq","cal",,-1.63,
"OBIGT",522,"H3VO4","aq","cal",,,-1195
"OBIGT",530,"Zr+4","aq","cal",,-1.18,
"OBIGT",532,"HNbO3","aq","cal",,,-1244
"OBIGT",533,"HMoO4-","aq","cal",,,-1197
"OBIGT",537,"Hf+4","aq","cal",,-1.18,
"OBIGT",541,"U+4","aq","cal",,-1.13,
"OBIGT",557,"Ce+4","aq","cal",,-1.13,
"OBIGT",558,"Pr+4","aq","cal",,-1.12,
"OBIGT",559,"Nd+4","aq","cal",,-1.12,
"OBIGT",560,"Pm+4","aq","cal",,-1.13,
"OBIGT",561,"Sm+4","aq","cal",,-1.14,
"OBIGT",562,"Eu+4","aq","cal",,-1.14,
"OBIGT",563,"Gd+4","aq","cal",,-1.16,
"OBIGT",564,"Tb+4","aq","cal",,-1.15,
"OBIGT",565,"Dy+4","aq","cal",,-1.15,
"OBIGT",566,"Ho+4","aq","cal",,-1.15,
"OBIGT",567,"Er+4","aq","cal",,-1.15,
"OBIGT",568,"Tm+4","aq","cal",,-1.16,
"OBIGT",569,"Yb+4","aq","cal",,-1.16,
"OBIGT",570,"Lu+4","aq","cal",,-1.17,
"OBIGT",573,"KOH","aq","cal",,,-6847
"OBIGT",579,"BeO2-2","aq","cal",,-1.17,
"OBIGT",580,"MgOH+","aq","cal",,,11632
"OBIGT",602,"TlOH","aq","cal",,,5739
"OBIGT",620,"MnO","aq","cal",,,-7264
"OBIGT",622,"MnO2-2","aq","cal",,-1.05,
"OBIGT",628,"HFeO2","aq","cal",,,-4600
"OBIGT",629,"FeO2-","aq","cal",,,-4641
"OBIGT",633,"CoO2-2","aq","cal",,-1.14,
"OBIGT",636,"NiO","aq","cal",,,-14906
"OBIGT",638,"NiO2-2","aq","cal",,-1.16,
"OBIGT",642,"CuO2-2","aq","cal",,-1.09,
"OBIGT",649,"HZrO2+","aq","cal",,,6616
"OBIGT",651,"HZrO3-","aq","cal",,,-8031
"OBIGT",656,"CdO2-2","aq","cal",,-1.08,
"OBIGT",659,"HHfO2+","aq","cal",,,6529
"OBIGT",661,"HHfO3-","aq","cal",,,-8029
"OBIGT",672,"RuCl4-2","aq","cal",,-1.09,
"OBIGT",675,"Ru(SO4)3-4","aq","cal",,-1.8,
"OBIGT",682,"RuCl5-2","aq","cal",,-1.49,
"OBIGT",683,"RuCl6-3","aq","cal",,-2.39,
"OBIGT",686,"Ru(SO4)3-3","aq","cal",,-1.3,
"OBIGT",687,"RuOH+2","aq","cal",,,648
"OBIGT",688,"RuO+","aq","cal",,,-2696
"OBIGT",692,"RhCl4-2","aq","cal",,-1.14,
"OBIGT",695,"Rh(SO4)3-4","aq","cal",,-1.82,
"OBIGT",699,"RhCl2+","aq","cal",,4.67,
"OBIGT",704,"Rh(SO4)3-3","aq","cal",,-1.33,
"OBIGT",705,"RhOH+2","aq","cal",,,789
"OBIGT",706,"RhO+","aq","cal",,,-2676
"OBIGT",707,"CF4","aq","cal",5.9,,-2329
"OBIGT",714,"AsH3","aq","cal",-2.67,,
"OBIGT",775,"RuCrO4+2","aq","cal",,,-4659
"OBIGT",797,"AgCl","aq","cal",,-1.88,
"OBIGT",798,"AgCl2-","aq","cal",1.65,,
"OBIGT",799,"AgCl3-2","aq","cal",,,-546
"OBIGT",803,"CuHS","aq","cal",7.35,-16.2,
"OBIGT",811,"ZnO2-2","aq","cal",,-1.17,
"OBIGT",837,"S3-","aq","cal",,,661
"OBIGT",842,"CoCl2(tet)","aq","cal",2.81,,
"OBIGT",843,"CoCl4-2","aq","cal",1.33,-1.19,
"OBIGT",844,"CH4","aq","cal",-2.61,,
"OBIGT",849,"hexane","aq","cal",1.43,3.21,
"OBIGT",852,"ethylene","aq","cal",6.12,-3.82,
"OBIGT",876,"propanol","aq","cal",-1.89,,
"OBIGT",923,"La(Ac)2+","aq","cal",,,-779
"OBIGT",926,"Sm(Ac)+2","aq","cal",,,-660
"OBIGT",927,"Sm(Ac)2+","aq","cal",,,-621
"OBIGT",940,"Ca(Ac)2","aq","cal",,,-1006
"OBIGT",956,"La(Ac)3","aq","cal",,,-564
"OBIGT",976,"Ce(Ac)+2","aq","cal",,,797
"OBIGT",977,"Ce(Ac)2+","aq","cal",,,567
"OBIGT",1005,"urea","aq","cal",-23.26,23.32,
"OBIGT",1018,"propanoic acid","aq","cal",1.42,,
"OBIGT",1037,"pimelic acid","aq","cal",,,-19931
"OBIGT",1041,"formate","aq","cal",1.96,,
"OBIGT",1043,"propanoate","aq","cal",1.68,,
"OBIGT",1050,"n-decanoate","aq","cal",-1.93,,
"OBIGT",1066,"oxalate-2","aq","cal",-3.19,,
"OBIGT",1107,"Fe(For)+","aq","cal",,,587
"OBIGT",1108,"Fe(For)2","aq","cal",,,639
"OBIGT",1180,"Mg(But)2","aq","cal",,,-3347811
"OBIGT",1209,"Yb(But)+2","aq","cal",,,665
"OBIGT",1228,"Fe(Pent)2","aq","cal",,,532
"OBIGT",1313,"Ba(HCO3)+","aq","cal",,,-5800
"OBIGT",1333,"Li(Mal)-","aq","cal",,-3.22,
