"table","name","state","E_units","DCp","DV","DG"
"OBIGT","CO3-2","aq","cal",,-1.04,
"OBIGT","HPO4-2","aq","cal",,-1.02,
"OBIGT","S2O3-2","aq","cal",,,939
"OBIGT","BO2-","aq","cal",,-19.31,
"OBIGT","Cu+2","aq","cal",3.62,,
"OBIGT","NH3","aq","cal",2.75,,
"OBIGT","SO2","aq","cal",11.1,,
"OBIGT","CsCl","aq","cal",,,-1705
"OBIGT","CsBr","aq","cal",,,533
"OBIGT","CsI","aq","cal",,,-2127
"OBIGT","Ag(CO3)-","aq","cal",,,-1034
"OBIGT","Ag(CO3)2-3","aq","cal",,-1.56,
"OBIGT","NaHSiO3","aq","cal",,,2595
"OBIGT","CaCl+","aq","cal",,,-593
"OBIGT","AgCl4-3","aq","cal",,-1.31,
"OBIGT","AgNO3","aq","cal",,,1596
"OBIGT","MnSO4","aq","cal",,,1203
"OBIGT","BeCl+","aq","cal",,,-33235
"OBIGT","BeCl2","aq","cal",,,-33228
"OBIGT","BeF+","aq","cal",,,-33233
"OBIGT","BeF2","aq","cal",,,-33220
"OBIGT","BeF3-1","aq","cal",,,-33211
"OBIGT","BeF4-2","aq","cal",,,-33199
"OBIGT","CuCl4-2","aq","cal",,-1.07,
"OBIGT","ReO4-","aq","cal",-1.26,,
"OBIGT","WO4-2","aq","cal",,,19984
"OBIGT","PO4-3","aq","cal",,-1.72,
"OBIGT","UO2+2","aq","cal",-1.1,,
"OBIGT","P2O7-4","aq","cal",,-2.11,
"OBIGT","HP2O7-3","aq","cal",,-1.42,
"OBIGT","SO3-2","aq","cal",,-1.02,
"OBIGT","S2O6-2","aq","cal",,,-607
"OBIGT","S5O6-2","aq","cal",,,664
"OBIGT","VO4-3","aq","cal",,-1.63,
"OBIGT","H3VO4","aq","cal",,,-1195
"OBIGT","Zr+4","aq","cal",,-1.18,
"OBIGT","HMoO4-","aq","cal",,,-1197
"OBIGT","Hf+4","aq","cal",,-1.18,
"OBIGT","U+4","aq","cal",,-1.13,
"OBIGT","Ce+4","aq","cal",,-1.13,
"OBIGT","Pr+4","aq","cal",,-1.12,
"OBIGT","Nd+4","aq","cal",,-1.12,
"OBIGT","Pm+4","aq","cal",,-1.13,
"OBIGT","Sm+4","aq","cal",,-1.14,
"OBIGT","Eu+4","aq","cal",,-1.14,
"OBIGT","Gd+4","aq","cal",,-1.16,
"OBIGT","Tb+4","aq","cal",,-1.15,
"OBIGT","Dy+4","aq","cal",,-1.15,
"OBIGT","Ho+4","aq","cal",,-1.15,
"OBIGT","Er+4","aq","cal",,-1.15,
"OBIGT","Tm+4","aq","cal",,-1.16,
"OBIGT","Yb+4","aq","cal",,-1.16,
"OBIGT","Lu+4","aq","cal",,-1.17,
"OBIGT","KOH","aq","cal",,,-6847
"OBIGT","BeO2-2","aq","cal",,-1.17,
"OBIGT","MgOH+","aq","cal",,,11632
"OBIGT","TlOH","aq","cal",,,5739
"OBIGT","MnO","aq","cal",,,-7264
"OBIGT","MnO2-2","aq","cal",,-1.05,
"OBIGT","HFeO2","aq","cal",,,-4600
"OBIGT","FeO2-","aq","cal",,,-4641
"OBIGT","CoO2-2","aq","cal",,-1.14,
"OBIGT","NiO","aq","cal",,,-14906
"OBIGT","NiO2-2","aq","cal",,-1.16,
"OBIGT","CuO2-2","aq","cal",,-1.09,
"OBIGT","HZrO2+","aq","cal",,,6616
"OBIGT","HZrO3-","aq","cal",,,-8031
"OBIGT","CdO2-2","aq","cal",,-1.08,
"OBIGT","HHfO2+","aq","cal",,,6529
"OBIGT","HHfO3-","aq","cal",,,-8029
"OBIGT","RuCl4-2","aq","cal",,-1.09,
"OBIGT","Ru(SO4)3-4","aq","cal",,-1.8,
"OBIGT","RuCl5-2","aq","cal",,-1.49,
"OBIGT","RuCl6-3","aq","cal",,-2.39,
"OBIGT","Ru(SO4)3-3","aq","cal",,-1.3,
"OBIGT","RuOH+2","aq","cal",,,648
"OBIGT","RuO+","aq","cal",,,-2696
"OBIGT","RhCl4-2","aq","cal",,-1.14,
"OBIGT","Rh(SO4)3-4","aq","cal",,-1.82,
"OBIGT","RhCl2+","aq","cal",,4.67,
"OBIGT","Rh(SO4)3-3","aq","cal",,-1.33,
"OBIGT","RhOH+2","aq","cal",,,789
"OBIGT","RhO+","aq","cal",,,-2676
"OBIGT","Ar","aq","cal",-1.24,-8.59,
"OBIGT","Xe","aq","cal",2.8,,
"OBIGT","CO2","aq","cal",-4.94,,
"OBIGT","CF4","aq","cal",5.9,,-2329
"OBIGT","AsH3","aq","cal",-2.67,,
"OBIGT","AmOH+2","aq","cal",,,11642
"OBIGT","AmO+","aq","cal",,,11636
"OBIGT","HAmO2","aq","cal",,,23273
"OBIGT","AmCO3+","aq","cal",,,-9689
"OBIGT","Am(CO3)2-","aq","cal",,,69826
"OBIGT","AmSO4+","aq","cal",,,46571
"OBIGT","Am(SO4)2-","aq","cal",,,93130
"OBIGT","AgCl","aq","cal",,-1.88,
"OBIGT","AgCl2-","aq","cal",1.65,,
"OBIGT","AgCl3-2","aq","cal",,,-546
"OBIGT","ZnO2-2","aq","cal",,-1.17,
"OBIGT","S3-","aq","cal",,,661
"OBIGT","CoCl2(tet)","aq","cal",2.81,,
"OBIGT","CoCl4-2","aq","cal",1.33,-1.19,
"OBIGT","Fe(CO3)2-2","aq","cal",,,-4792
"OBIGT","Zn(CO3)2-2","aq","cal",,,-4724
"OBIGT","Cu(CO3)2-2","aq","cal",,,-4929
"OBIGT","Pb(CO3)2-2","aq","cal",,,-6676
"OBIGT","KCO3-","aq","cal",,,4996
"OBIGT","RbCO3-","aq","cal",,,-533
"OBIGT","MnHCO3+","aq","cal",,,945
"OBIGT","KHCO3","aq","cal",,,3759
"OBIGT","NbO3-","aq","cal",-1.51,,
"OBIGT","TaO3-","aq","cal",-1.61,,
"OBIGT","HTaO3F-","aq","cal",-1.15,-1.91,
"OBIGT","UO2(CO3)3-4","aq","cal",,-1.98,
"OBIGT","TaF7-2","aq","cal",-9.97,-4.13,
"OBIGT","Sn+4","aq","cal",,-1.18,
"OBIGT","Th+4","aq","cal",,-1.13,
"OBIGT","GaOH+2","aq","J",9.07,,
"OBIGT","Ga(OH)4-","aq","J",-3.75,,
"OBIGT","GaSO4+","aq","cal",2.05,,
"OBIGT","Ga(SO4)2-","aq","cal",-19.44,-36.42,
"OBIGT","InSO4+","aq","cal",3.64,,
"OBIGT","In(SO4)2-","aq","cal",-19.05,-33.6,
"OBIGT","CuCl3-2","aq","cal",-2.07,-1.36,
"OBIGT","CH4","aq","cal",-2.61,,
"OBIGT","hexane","aq","cal",1.43,3.21,
"OBIGT","ethylene","aq","cal",6.12,-3.82,
"OBIGT","propanol","aq","cal",-1.89,,
"OBIGT","urea","aq","cal",-23.26,23.32,
"OBIGT","propanoic acid","aq","cal",1.42,,
"OBIGT","formate","aq","cal",1.96,,
"OBIGT","propanoate","aq","cal",1.68,,
"OBIGT","n-decanoate","aq","cal",-1.93,,
"OBIGT","oxalate-2","aq","cal",-3.19,,
"OBIGT","cyclohexane","aq","cal",9.35,6.64,
"OBIGT","benzene","aq","cal",,-1.14,
"OBIGT","ethanethiol","aq","cal",,,753
"OBIGT","n-butanethiol","aq","cal",2.19,,
"OBIGT","guanine","aq","cal",-4.26,,
"OBIGT","dHUMP-","aq","cal",-3.13,,
