T,logfO2
7.37714269416,-79.8759305211
10.0691176331,-79.1315136476
13.4332544232,-78.2630272953
17.4695530647,-77.270471464
20.8353536218,-76.2779156328
24.8699884962,-75.4094292804
28.2324615194,-74.6650124069
32.9375944782,-73.7965260546
36.9705655857,-73.0521091811
41.0035366932,-72.3076923077
43.6921840982,-71.8114143921
47.7234914387,-71.1910669975
51.7547987793,-70.570719603
55.7827785859,-70.1985111663
59.1402603082,-69.8263027295
62.4977420306,-69.4540942928
67.1995474554,-68.8337468983
71.8980253463,-68.4615384615
76.5998307711,-67.841191067
80.6311381117,-67.2208436725
86.0067691547,-66.3523573201
91.3807364308,-65.6079404467
94.741545687,-64.9875930521
98.1006911763,-64.4913151365
101.461500433,-63.8709677419
104.822309689,-63.2506203474
108.855280796,-62.5062034739
112.216090053,-61.8858560794
116.24906116,-61.141439206
119.608206649,-60.6451612903
122.969015906,-60.0248138958
125.657663311,-59.5285359801
129.018472567,-58.9081885856
132.377618056,-58.41191067
135.066265461,-57.9156327543
139.097572802,-57.2952853598
143.80270576,-56.4267990074
148.506174952,-55.682382134
151.866984208,-55.0620347395
156.5704534,-54.317617866
160.600096974,-53.8213399504
164.631404314,-53.2009925558
168.664375422,-52.4565756824
172.694018995,-51.9602977667
178.740148123,-51.0918114144
182.771455463,-50.4714640199
188.145422739,-49.7270471464
192.175066313,-49.2307692308
196.878535505,-48.4863523573
202.923000865,-47.7419354839
207.623142523,-47.2456575682
212.324947948,-46.6253101737
217.026753373,-46.0049627792
221.726895031,-45.5086848635
225.756538604,-45.0124069479
231.128842113,-44.3920595533
236.501145622,-43.7717121588
241.873449132,-43.1513647643
245.903092705,-42.6550868486
250.601570596,-42.2828784119
255.303376021,-41.6625310174
260.674015763,-41.1662531017
264.70199557,-40.794044665
270.072635312,-40.2977667494
273.430117034,-39.9255583127
278.128594925,-39.5533498759
282.828736583,-39.0570719603
288.199376325,-38.5607940447
293.570016067,-38.064516129
298.270157725,-37.5682382134
305.653955487,-36.9478908189
311.696757081,-36.3275434243
317.737894907,-35.8312655087
323.108534649,-35.3349875931
329.149672476,-34.8387096774
335.862972153,-34.2183622829
340.561450044,-33.8461538462
345.259927935,-33.4739454094
348.617409657,-33.1017369727
350.630567677,-32.9776674938
