compound,formula,state,[-CH3(even)],[-CH2-(even)],[>CH-(even)],[-CH(CH3)2],[>CHCH3],[-CH2-],[-CH3],[-CH3(odd)],[-CH2-(odd)],[>CH-(odd)],[>CH-],[(6)>CH2],[(6)>CHCH3],[(6)>C(CH3)2],[(trans)(6)(6)>CH-],[(trans)(6)(6)>CCH3-],[(6)>CH(CH2)6CH3],[(5)>CH2],[(trans)(6)(5)>CH-],[(trans)(6)(5)>CCH3-],[(5)>CH(CH2)5CH3],[(cis)(6)(5)>CH-],[(cis)(6)(5)>CCH3-],[(5)>CH(CH2)3CH3],[(6)(C)(C)=CH-],[(6)(CB)(C)=CH-],[(6)(C)(C)=CCH3-],[(6)(6)>CB=],[beta.(6)(C)(C)=CCH3-],[-CH2-(ether)],[(sat)-O-(sat)],[-CH2-(ester)],[(sat)-COO-(sat)]
phytane,C20H42,cr,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phytane,C20H42,liq,,,,1,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
squalene,C30H62,cr,8,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squalene,C30H62,liq,,,,2,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,6,10,14-tetramethyl-7-(3-methylpentyl)pentadecane",C25H52,cr,,,,,,,,8,11,6,,,,,,,,,,,,,,,,,,,,,,,
"2,6,10,14-tetramethyl-7-(3-methylpentyl)pentadecane",C25H52,liq,,,,2,3,11,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
tricyclohexaprenane,C30H56,cr,1,,1,,,,,1,,1,,7,1,1,2,2,1,,,,,,,,,,,,,,,,
tricyclohexaprenane,C30H56,liq,,,,,2,,,,,,,7,1,1,2,2,1,,,,,,,,,,,,,,,,
17b(H)-pentakishomohopane,C35H62,cr,0.5,,0.5,,,,,0.5,,0.5,,9,,1,3,3,,2,1,1,1,,,,,,,,,,,,
17b(H)-pentakishomohopane,C35H62,liq,,,,,1,,,,,,,9,,1,3,3,,2,1,1,1,,,,,,,,,,,,
"5a(H),14b(H)-cholestane",C27H48,cr,1,,1,,,,,1,,1,,8,,,3,1,,2,,,,1,1,1,,,,,,,,,
"5a(H),14b(H)-cholestane",C27H48,liq,,,,,2,,,,,,,8,,,3,1,,2,,,,1,1,1,,,,,,,,,
"2,6-dimethylphenanthrene",C16H14,cr,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,4,,,,,
"2,6-dimethylphenanthrene",C16H14,liq,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,4,2,,,,
"a,w-dioxypentadecane",C15H30O2,cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,
"a,w-dicarboxypentadecane",C17H30O4,cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2
